시간구간,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
00-01시,1182,1268,1220,1272,1249,1271,1322,1269,1281,1277,1226,1196,1249
01-02시,1029,1102,1076,1086,1093,1115,1150,1079,1097,1066,1088,1046,1086
02-03시,799,814,812,822,848,847,863,809,845,794,821,829,825
03-04시,614,648,659,672,673,694,705,663,682,637,660,687,666
04-05시,547,589,581,603,611,636,651,611,617,596,590,577,601
05-06시,693,710,756,794,780,790,826,791,818,774,762,731,769
06-07시,987,1014,1069,1057,1057,1075,1088,1060,1095,1052,1058,1003,1051
07-08시,1446,1457,1539,1566,1565,1618,1552,1546,1605,1558,1502,1470,1535
08-09시,1602,1635,1651,1652,1653,1689,1689,1660,1663,1644,1647,1623,1651
09-10시,1689,1720,1728,1736,1753,1764,1720,1728,1723,1732,1722,1682,1725
10-11시,1698,1738,1770,1735,1763,1732,1710,1728,1719,1773,1733,1648,1729
11-12시,1620,1577,1691,1710,1678,1660,1611,1616,1606,1678,1574,1497,1627
12-13시,1788,1675,1749,1733,1728,1684,1592,1614,1630,1711,1620,1533,1671
13-14시,1711,1648,1717,1656,1650,1608,1566,1577,1570,1649,1584,1568,1625
14-15시,1820,1840,1889,1856,1866,1820,1773,1784,1786,1857,1810,1782,1824
15-16시,1743,1809,1798,1861,1834,1758,1708,1728,1736,1822,1796,1753,1779
16-17시,1812,1859,1916,1902,1881,1826,1796,1809,1747,1887,1795,1738,1831
17-18시,1888,1993,2014,2006,2060,1966,1923,1908,1899,1976,1880,1877,1949
18-19시,1878,1921,1928,1954,1957,1970,1869,1888,1867,1954,1925,1913,1919
19-20시,1950,2006,2069,1990,1982,1959,1891,1895,1969,2048,2008,2002,1981
20-21시,2024,2108,2115,2062,2076,2081,2027,2008,2053,2071,2001,2021,2054
21-22시,2034,2109,2115,2066,2054,2074,2038,2046,2054,2072,2058,2022,2062
22-23시,1947,2014,2007,1960,1971,1979,1938,1931,1965,1970,1924,1917,1960
23-24시,1598,1704,1687,1658,1664,1676,1671,1649,1651,1621,1591,1601,1648
합계,36099,36958,37556,37409,37446,37292,36679,36397,36678,37169,36375,35716,36815
