도로코드,도로명,도로분류그룹코드,도로분류그룹코드명,도로구분코드,도로구분명,도로순서,도로폭,차선수,소통제공여부,사용여부,도로거리
242,서빙고로,01,기본도로,03,주간선도로,,,6,,Y,6128
243,서빙고로51길,01,기본도로,05,기타도로,,,4,,Y,634
244,서소문로,01,기본도로,03,주간선도로,,,6,,Y,1458
245,서오릉로,01,기본도로,04,보조간선도로,,,7,,Y,2856
246,서운로,01,기본도로,05,기타도로,,,4,,Y,2303
247,서울시립대로,01,기본도로,04,보조간선도로,,,6,,Y,1521
248,제1순환고속도로,04,기타도로,06,경기도로,,,,,Y,
249,서울춘천고속도로,04,기타도로,06,경기도로,,,,,Y,
250,서초대로,01,기본도로,03,주간선도로,,,8,,Y,4271
251,서초중앙로,01,기본도로,04,보조간선도로,,,8,,Y,2624
252,서해안고속도로,04,기타도로,06,경기도로,,,,,Y,
254,석계로,01,기본도로,05,기타도로,,,4,,Y,1089
255,석계로1길,01,기본도로,05,기타도로,,,2,,Y,763
256,석촌호수로,01,기본도로,05,기타도로,,,6,,Y,3006
257,선릉로,01,기본도로,05,기타도로,,,6,,Y,6344
258,선유로,01,기본도로,03,주간선도로,,,6,,Y,4170
259,선유서로,01,기본도로,05,기타도로,,,2,,Y,1114
260,섬밭로,01,기본도로,05,기타도로,,,4,,Y,3295
261,성균관로,01,기본도로,05,기타도로,,,2,,Y,949
262,성남대로,04,기타도로,06,경기도로,,,,,Y,
263,성내로,01,기본도로,05,기타도로,,,4,,Y,962
264,성내천로,01,기본도로,05,기타도로,,,4,,Y,1643
265,성덕정길,01,기본도로,05,기타도로,,,2,,Y,1558
266,성북로,01,기본도로,04,보조간선도로,,,4,,Y,1942
267,성산로,01,기본도로,03,주간선도로,,,6,,Y,8711
268,성수이로,01,기본도로,05,기타도로,,,4,,Y,1140
269,성수일로,01,기본도로,05,기타도로,,,4,,Y,1193
270,성안로,01,기본도로,05,기타도로,,,4,,Y,2417
271,성암로,01,기본도로,04,보조간선도로,,,4,,Y,3383
272,성중길,01,기본도로,05,기타도로,,,2,,Y,1258
273,세검정로,01,기본도로,03,주간선도로,,,4,,Y,2828
274,세종대로,01,기본도로,03,주간선도로,,,11,,Y,2138
275,세종대로18길,01,기본도로,05,기타도로,,,2,,Y,221
276,세종대로20길,01,기본도로,05,기타도로,,,3,,Y,183
277,세종대로21길,01,기본도로,05,기타도로,,,2,,Y,211
278,소공로,01,기본도로,03,주간선도로,,,8,,Y,1287
279,소월로,01,기본도로,04,보조간선도로,,,6,,Y,3984
280,소월로2길,01,기본도로,04,보조간선도로,,,5,,Y,272
281,소월로3길,01,기본도로,05,기타도로,,,8,,Y,314
282,소파로,01,기본도로,04,보조간선도로,,,6,,Y,1394
283,솔샘로,01,기본도로,04,보조간선도로,,,4,,Y,3384
284,솔샘로67길,01,기본도로,05,기타도로,,,2,,Y,1518
285,송월길,01,기본도로,05,기타도로,,,2,,Y,906
286,송이로,01,기본도로,05,기타도로,,,4,,Y,2683
287,송이로32길,01,기본도로,04,보조간선도로,,,2,,Y,443
288,송파대로,01,기본도로,03,주간선도로,,,11,,Y,7362
289,송파대로4길,01,기본도로,05,기타도로,,,4,,Y,325
290,송파대로60길,01,기본도로,05,기타도로,,,2,,Y,972
291,수락산로,01,기본도로,05,기타도로,,,4,,Y,2609
293,수색로,01,기본도로,03,주간선도로,,,8,,Y,4106
294,수표로,01,기본도로,04,보조간선도로,,,2,,Y,156
295,시루봉로,01,기본도로,04,보조간선도로,,,4,,Y,3139
296,시흥대로,01,기본도로,03,주간선도로,,,10,,Y,6833
297,신길로,01,기본도로,04,보조간선도로,,,4,,Y,3018
298,신내로,01,기본도로,04,보조간선도로,,,8,,Y,2974
299,신림로,01,기본도로,04,보조간선도로,,,6,,Y,3910
300,신목로,01,기본도로,04,보조간선도로,,,6,,Y,1277
301,신목로7길,01,기본도로,05,기타도로,,,4,,Y,177
302,신반포로,01,기본도로,04,보조간선도로,,,8,,Y,3475
303,신사로,01,기본도로,05,기타도로,,,4,,Y,1929
304,신월로,01,기본도로,04,보조간선도로,,,6,,Y,3004
305,신이문로,01,기본도로,05,기타도로,,,2,,Y,476
306,신정로,01,기본도로,04,보조간선도로,,,6,,Y,3098
307,신정중앙로,01,기본도로,05,기타도로,,,4,,Y,1200
308,올림픽로35길,01,기본도로,04,보조간선도로,,,4,,Y,1521
309,신촌로,01,기본도로,03,주간선도로,,,8,,Y,3329
311,신풍로,01,기본도로,04,보조간선도로,,,4,,Y,1289
312,쑥고개로,01,기본도로,04,보조간선도로,,,4,,Y,1434
313,아리랑로,01,기본도로,04,보조간선도로,,,4,,Y,1305
314,아리수로,01,기본도로,04,보조간선도로,,,4,,Y,4770
