시간구간,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연평균
00-01시,830,867,843,843,837,860,883,874,873,828,829,802,847
01-02시,695,737,716,712,698,728,757,727,722,711,706,682,716
02-03시,535,552,541,543,529,541,566,538,560,530,532,544,543
03-04시,435,470,464,470,449,465,482,460,476,442,455,451,460
04-05시,406,432,427,445,421,448,465,440,442,429,434,419,434
05-06시,645,673,677,694,706,731,737,705,738,748,715,688,705
06-07시,1314,1318,1436,1490,1439,1541,1527,1459,1563,1564,1485,1366,1465
07-08시,2116,2193,2367,2362,2265,2251,2263,2225,2387,2382,2266,2085,2264
08-09시,2344,2446,2491,2426,2382,2335,2353,2390,2452,2465,2460,2314,2405
09-10시,2286,2352,2369,2327,2324,2287,2302,2326,2366,2412,2376,2252,2332
10-11시,2234,2268,2270,2218,2241,2242,2207,2218,2237,2236,2230,2191,2233
11-12시,2076,2133,2144,2122,2103,2093,2089,2079,2093,2098,2078,2091,2100
12-13시,2020,2115,2099,2044,2057,2081,2046,2051,2042,2046,2020,2047,2056
13-14시,2106,2146,2125,2084,2098,2094,2120,2076,2080,2086,2085,2145,2104
14-15시,2130,2167,2167,2149,2081,2096,2062,2090,2131,2145,2144,2145,2126
15-16시,2085,2168,2154,2131,2123,2065,2048,2080,2084,2133,2101,2094,2104
16-17시,2057,2155,2153,2133,2137,2139,2080,2050,2076,2156,2095,2040,2106
17-18시,1962,2081,2130,2097,2093,2107,2012,1998,2051,2194,2056,2038,2068
18-19시,1948,1998,2049,2074,2043,2099,1975,2030,2059,2107,1986,1982,2029
19-20시,1922,1951,1896,1938,1917,1927,1901,1952,2092,1959,1916,1885,1938
20-21시,1722,1777,1747,1777,1755,1728,1693,1796,1883,1754,1784,1733,1762
21-22시,1609,1634,1627,1627,1589,1597,1594,1592,1722,1611,1616,1595,1618
22-23시,1441,1465,1482,1472,1453,1460,1427,1433,1554,1410,1416,1446,1455
23-24시,1131,1171,1193,1151,1151,1170,1173,1170,1188,1159,1105,1130,1158
합계,38029,39271,39567,39329,38951,39085,38762,38759,39891,39605,38890,38165,39025
